"Identification.id","Identification.Name","Identification.Year","Physical.Absolute Magnitude","Physical.Size.Minimum Estimated Diameter","Physical.Size.Maximum Estimated Diameter","Physical.Hazardous","Approach.Miss Distance","Approach.Relative Velocity","Orbital.Orbiting Body"
"2514150","514150 (2015 KJ57)","2015","21.53","0.1313877806","0.2937920088","True","13613405.766085751","40273.3626630167","Earth"
"3648764","(2013 TC4)","2013","22.6","0.0802703167","0.1794898848","True","71771332.94543467","99733.7175455603","Earth"
"3445070","(2009 BE58)","2009","21.7","0.1214940408","0.2716689341","True","57311925.254308686","46398.3339283564","Earth"
"3843155","(2019 NY2)","2019","21.2","0.1529519353","0.3420109247","True","33092844.332595527","52800.6801927546","Earth"
"3530350","(2010 MB)","2010","24.6","0.0319561887","0.0714562102","True","29251903.13305173","30349.6494367051","Earth"
"2430544","430544 (2002 GM2)","2002","18.76","0.4704949611","1.0520587161","True","12413122.784399657","102509.7824844544","Earth"
"3529053","(2010 LK34)","2010","21.91","0.1102947845","0.2466266358","True","29861607.17406156","119384.7891406967","Earth"
"3572706","(2011 OB)","2011","19.41","0.3487827332","0.7799019007","True","69785607.44061325","53879.5966326462","Earth"
"3080638","(2001 QC34)","2001","20.2","0.2424124811","0.5420507863","True","9847799.166635066","24273.836535506","Earth"
"3824979","(2018 KT)","2018","20.97","0.1700415193","0.3802243961","True","41346693.10928823","28526.9462682822","Earth"
"3408586","(2008 GS3)","2008","22.27","0.0934447651","0.2089488469","True","70113684.7249129","90659.134097235","Earth"
"3748270","(2016 FY3)","2016","21.2","0.1529519353","0.3420109247","True","60815493.35238827","52902.2373486854","Earth"
"2310560","310560 (2001 QL142)","2001","17.8","0.7320739893","1.6369672047","True","45026347.17542575","68913.4749571537","Earth"
"3467706","(2009 ST19)","2009","18.39","0.5578982211","1.2474983468","True","9698707.984620756","34107.6160225854","Earth"
"2022753","22753 (1998 WT)","1998","17.69","0.7701139256","1.7220270881","True","65760579.65924562","65225.9248691371","Earth"
"3837636","(2019 AP3)","2019","20.55","0.2063264836","0.4613600429","True","56234254.01829564","6618.025257224","Earth"
"2022753","22753 (1998 WT)","1998","17.69","0.7701139256","1.7220270881","True","52840868.147342704","105769.0948580878","Earth"
"3635072","(2013 HL11)","2013","23.3","0.058150704","0.130028927","True","47338671.78799335","74860.1372037337","Earth"
"2068372","68372 (2001 PM9)","2001","18.97","0.4271249851","0.9550805015","True","31134929.565480072","53551.8450696931","Earth"
"3719183","(2015 JD1)","2015","20.61","0.2007035141","0.4487867009","True","39508024.420006774","59939.2438860424","Earth"
"2267337","267337 (2001 VK5)","2001","18.06","0.6494638409","1.4522452972","True","65202096.37310594","112645.3312937308","Earth"
"3542555","(2010 PQ10)","2010","21.62","0.1260535197","0.2818642388","True","40209312.26207081","61099.4713695167","Earth"
"54169406","(2021 NQ5)","2021","21.13","0.1579628558","0.3532156834","True","17772852.544372767","56264.5093542304","Earth"
"2216115","216115 (2006 SU19)","2006","18.94","0.4330668855","0.9683669947","True","12318120.417699564","70121.712029405","Earth"
"54443996","(2024 KF)","2024","23.23","0.0600558028","0.1342888574","True","53638338.099869445","56275.3797192612","Earth"
